movie_title,release_date,mpaa_rating,total_gross,inflation_adjusted_gross,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,total_gross_category,inflation_adjusted_gross_category
Nothing To Lose,1997,R,44480039,81692095,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Air Bud,1997,PG,24646936,45266588,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
G.I. Jane,1997,R,48169156,88467531,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
A Thousand Acres,1997,R,7928412,14561324,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Washington Square,1997,PG,1775644,3257546,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Rocket Man,1997,PG,15448043,28371890,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Playing God,1997,R,4166918,7652965,False,False,False,False,False,False,False,False,False,False,True,False,Low,Low
Flubber,1997,PG,92993801,170406423,False,False,False,True,False,False,False,False,False,False,False,False,High,High
An American Werewolf in Paris,1997,R,26570463,48546161,False,False,False,False,False,False,False,True,False,False,False,False,Medium,Medium
Mr. Magoo,1997,PG,21437192,39145784,False,False,False,True,False,False,False,False,False,False,False,False,Low,Medium
Kundun,1997,PG-13,5686694,10236836,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Deep Rising,1998,R,11203026,20136775,True,False,False,False,False,False,False,False,False,False,False,False,Low,Low
Krippendorf's Tribe,1998,PG-13,7571115,13608633,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
An Alan Smithee Film: Burn Hollywood …,1998,R,45779,82277,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Meet the Deedles,1998,PG,4356126,7829877,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
He Got Game,1998,R,21567853,38766948,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
The Horse Whisperer,1998,PG-13,75383563,135497531,False,False,False,False,False,False,True,False,False,False,False,False,High,High
"Six Days, Seven Nights",1998,PG-13,74339294,133620516,False,False,False,False,False,False,False,False,False,True,False,False,High,High
Mulan,1998,G,120620254,216807832,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Armageddon,1998,PG-13,201578182,362324957,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Jane Austen's Mafia,1998,PG-13,19843795,35668055,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Parent Trap,1998,PG,66308518,119185667,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Firelight,1998,R,784419,1409943,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Simon Birch,1998,PG,18253415,32809442,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Holy Man,1998,PG,12069719,21694605,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Beloved,1998,R,22852487,41062682,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
The Waterboy,1998,PG-13,161491646,288691833,False,False,False,True,False,False,False,False,False,False,False,False,High,High
I'll Be Home For Christmas,1998,PG,12214338,21941840,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
A Bug's Life,1998,G,162798565,288981698,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Enemy of the State,1998,R,111549836,198472008,True,False,False,False,False,False,False,False,False,False,False,False,High,High
Rushmore,1998,R,17105219,28392518,False,False,True,False,False,False,False,False,False,False,False,False,Low,Low
A Civil Action,1998,PG-13,56709981,94139530,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Mighty Joe Young,1998,PG,50632037,87906042,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
My Favorite Martian,1999,PG,36850101,61150849,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
The Other Sister,1999,PG-13,27807627,46145331,False,False,False,False,False,False,False,False,False,True,False,False,Medium,Medium
Doug's 1st Movie,1999,G,19421271,32228598,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Ten Things I Hate About You,1999,PG-13,38177966,63354375,False,False,False,False,False,False,False,False,False,True,False,False,Medium,Medium
Instinct,1999,R,34105207,56595842,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Tarzan,1999,G,171091819,283900254,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Summer of Sam,1999,R,19288130,32007656,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Inspector Gadget,1999,PG,97387965,161610341,False,False,False,True,False,False,False,False,False,False,False,False,High,High
The Sixth Sense,1999,PG-13,293506292,485424724,False,False,False,False,False,False,False,False,False,False,True,False,High,High
The 13th Warrior,1999,R,32698899,54262148,True,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Breakfast of Champions,1999,R,178287,295851,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Mumford,1999,R,4559569,7566363,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
"Mystery, Alaska",1999,R,8891623,14755189,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Straight Story,1999,G,6197866,10111144,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Insider,1999,R,28965197,47794214,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Toy Story 2,1999,G,245852179,404450426,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Cradle Will Rock,1999,R,2899970,4609153,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Deuce Bigalow: Male Gigolo,1999,R,65535067,106921374,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Bicentennial Man,1999,PG,58220776,94838225,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Play it to the Bone,1999,R,8427204,13180524,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Fantasia 2000 (IMAX),2000,G,60507228,94852354,False,False,False,False,False,False,False,False,True,False,False,False,Medium,Medium
Gun Shy,2000,R,1638202,2562155,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Tigger Movie,2000,G,45542421,71228678,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Mission to Mars,2000,PG,60874615,95208344,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
High Fidelity,2000,R,27277055,42661516,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Keeping the Faith,2000,PG-13,37036404,57925202,False,False,False,False,False,False,False,False,False,True,False,False,Medium,Medium
Dinosaur,2000,PG,137748063,215438985,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Shanghai Noon,2000,PG-13,56932305,89042541,False,False,False,False,False,False,False,False,False,False,False,True,Medium,Medium
Gone in 60 Seconds,2000,PG-13,101643008,158970411,True,False,False,False,False,False,False,False,False,False,False,False,High,High
Fantasia 2000 (Theatrical Release),2000,G,9103630,14238144,False,False,False,False,False,False,False,False,True,False,False,False,Low,Low
The Kid,2000,PG,69688384,108993148,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Coyote Ugly,2000,PG-13,60786269,95070168,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
The Crew,2000,PG-13,13019253,20362201,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Duets,2000,R,4734235,7404372,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Remember the Titans,2000,PG,115654751,180742479,False,False,False,False,False,False,True,False,False,False,False,False,High,High
Unbreakable,2000,PG-13,94999143,148208901,False,False,False,False,False,False,False,False,False,False,True,False,High,High
102 Dalmatians,2000,G,66941559,104055039,False,False,False,True,False,False,False,False,False,False,False,False,High,High
The Emperor's New Groove,2000,G,89296573,136789252,False,True,False,False,False,False,False,False,False,False,False,False,High,High
"O Brother, Where Art Thou?",2000,PG-13,45506619,67922002,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Double Take,2001,PG-13,29823162,44418589,True,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Recess: School's Out,2001,G,36696761,54656124,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Just Visiting,2001,PG-13,4777007,7114869,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Pearl Harbor,2001,PG-13,198539855,295705112,True,False,False,False,False,False,False,False,False,False,False,False,High,High
Atlantis: The Lost Empire,2001,PG,84052762,125188122,False,True,False,False,False,False,False,False,False,False,False,False,High,High
crazy/beautiful,2001,PG-13,16929123,25214223,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Princess Diaries,2001,G,108244774,161218928,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Bubble Boy,2001,PG-13,5002310,7450434,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Max Keeble's Big Move,2001,PG,17292381,25749730,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Corky Romano,2001,PG-13,23978402,35705805,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
"Monsters, Inc.",2001,G,289423425,416073179,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Out Cold,2001,PG-13,13906394,20700691,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Royal Tenenbaums,2001,R,52353636,76758193,False,False,True,False,False,False,False,False,False,False,False,False,Medium,Medium
Beauty and the Beast (IMAX),2002,G,25487028,36980311,False,False,False,False,False,False,False,False,True,False,False,False,Medium,Medium
Snow Dogs,2002,PG,81150692,117745317,False,False,False,True,False,False,False,False,False,False,False,False,High,High
The Count of Monte Cristo,2002,PG-13,54228104,78682079,False,False,False,False,False,False,True,False,False,False,False,False,Medium,Medium
Peter Pan: Return to Neverland,2002,G,48430258,70269715,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Reign of Fire,2002,PG-13,43061982,62480631,True,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Sorority Boys,2002,R,10198766,14797862,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
The Rookie,2002,G,75600072,109691666,False,False,False,False,False,False,True,False,False,False,False,False,High,High
Big Trouble,2002,PG-13,7262288,10537188,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
ESPN's Ultimate X - The Movie,2002,PG,4197175,6089874,False,False,False,False,False,True,False,False,False,False,False,False,Low,Low
Bad Company,2002,PG-13,30157016,43756218,True,False,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Lilo & Stitch,2002,PG,145771527,211506702,False,True,False,False,False,False,False,False,False,False,False,False,High,High
The Country Bears,2002,G,16988996,24650121,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Signs,2002,PG-13,227965690,330754439,False,False,False,False,False,False,False,False,False,False,True,False,High,High
Sen to Chihiro no Kamikakushi,2002,PG,10049886,14338992,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Sweet Home Alabama,2002,PG-13,127214072,184521151,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Moonlight Mile,2002,PG-13,6830957,9909094,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Tuck Everlasting,2002,PG,19161999,27789959,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Santa Clause 2,2002,G,139225854,201959095,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Treasure Planet,2002,PG,38120554,55189145,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
The Hot Chick,2002,PG-13,35081550,50624654,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
25th Hour,2002,R,13084595,18325463,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
The Recruit,2003,PG-13,52784696,73793522,False,False,False,False,False,False,False,False,False,False,True,False,Medium,Medium
Shanghai Knights,2003,PG-13,60470220,84537962,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
The Jungle Book 2,2003,G,47901582,66966883,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
Bringing Down the House,2003,PG-13,132675402,185481530,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Piglet's Big Movie,2003,G,23103423,32298812,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
Ghosts of the Abyss,2003,G,17093668,23803108,False,False,False,False,False,True,False,False,False,False,False,False,Low,Low
Holes,2003,PG,67383924,94203395,False,False,False,False,False,False,True,False,False,False,False,False,High,Medium
The Lizzie McGuire Movie,2003,PG,42734455,59743191,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Finding Nemo,2003,G,380529370,518148559,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Pirates of the Caribbean: The Curse o…,2003,PG-13,305411224,426967926,False,True,False,False,False,False,False,False,False,False,False,False,High,High
Freaky Friday,2003,PG,110222438,154090360,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Open Range,2003,R,58331254,81547672,False,False,False,False,False,False,False,False,False,False,False,True,Medium,Medium
Cold Creek Manor,2003,R,21384035,29895090,False,False,False,False,False,False,False,False,False,False,True,False,Low,Low
Under the Tuscan Sun,2003,PG-13,43601508,60944053,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Veronica Guerin,2003,R,1569918,2194759,False,False,False,False,False,False,True,False,False,False,False,False,Low,Low
Brother Bear,2003,G,85336277,119218333,False,True,False,False,False,False,False,False,False,False,False,False,High,High
The Haunted Mansion,2003,PG,75817994,105775678,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Calendar Girls,2003,PG-13,31011616,42379650,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Young Black Stallion,2003,G,6751389,9254344,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
Teacher's Pet: The Movie,2004,PG,6491969,8812764,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Miracle,2004,PG,64378093,87392478,False,False,False,False,False,False,True,False,False,False,False,False,High,Medium
Confessions of a Teenage Drama Queen,2004,PG,29331068,39816568,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Hidalgo,2004,PG-13,67286731,91340921,False,False,False,False,False,False,False,False,False,False,False,True,High,Medium
The Ladykillers,2004,R,39692139,53881593,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Home on the Range,2004,PG,50026353,67910166,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
The Alamo,2004,PG-13,22406362,30416359,False,False,False,False,False,False,False,False,False,False,False,True,Medium,Low
Raising Helen,2004,PG-13,37485528,50886144,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Medium
Around the World in 80 Days,2004,PG,24004159,32585356,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Low
America's Heart and Soul,2004,Not Rated,314000,426246,False,False,False,False,False,True,False,False,False,False,False,False,Low,Low
King Arthur,2004,PG-13,51877963,70423706,False,True,False,False,False,False,False,False,False,False,False,False,Medium,Medium
The Village,2004,PG-13,114197520,155021748,False,False,False,False,False,False,False,False,False,False,True,False,High,High
The Princess Diaries 2: Royal Engagement,2004,G,95149435,129164207,False,False,False,False,False,False,False,False,False,True,False,False,High,High
Mr. 3000,2004,PG-13,21800302,29593641,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
The Last Shot,2004,R,463730,629502,False,False,False,True,False,False,False,False,False,False,False,False,Low,Low
Ladder 49,2004,PG-13,74541707,101161045,True,False,False,False,False,False,False,False,False,False,False,False,High,High
The Incredibles,2004,PG,261441092,354488708,False,True,False,False,False,False,False,False,False,False,False,False,High,High
National Treasure,2004,PG,173005002,234069353,False,True,False,False,False,False,False,False,False,False,False,False,High,High
The Life Aquatic with Steve Zissou,2004,R,24006726,32198655,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
Aliens of the Deep,2005,G,8968684,11740942,False,False,False,False,False,True,False,False,False,False,False,False,Low,Low
Pooh's Heffalump Movie,2005,G,18098433,23801835,False,True,False,False,False,False,False,False,False,False,False,False,Low,Low
The Pacifier,2005,PG,113006880,148619029,False,False,False,True,False,False,False,False,False,False,False,False,High,High
Ice Princess,2005,G,24381334,32064685,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
A Lot Like Love,2005,PG-13,21835784,28716947,False,False,False,True,False,False,False,False,False,False,False,False,Medium,Low
